machine_id,timestamp,temperature,pressure,vibration,acoustic,operational_hours,maintenance_performed
MCH-001,2022-09-19T20:27:40Z,83,183,0.01,19,1239,0
MCH-002,2023-09-12T01:58:13Z,88,190,0.01,19,1599,1
MCH-003,2021-06-19T20:02:53Z,82,171,0.007,26,1029,0
MCH-004,2023-09-12T00:54:39Z,88,171,0.002,21,1056,0
MCH-005,2019-05-11T03:31:59Z,81,185,0.004,25,1956,1
MCH-006,2022-08-03T12:39:46Z,81,175,0.003,22,1080,0
MCH-007,2020-11-01T14:03:04Z,81,172,0.01,20,1021,0
MCH-008,2019-07-26T04:04:26Z,89,182,0.012,20,1252,0
MCH-009,2019-08-15T18:38:54Z,81,177,0.005,21,1509,1
MCH-010,2019-05-07T16:13:39Z,86,187,0.009,25,1201,1
MCH-011,2022-06-01T17:37:23Z,92,179,0.005,23,1064,0
MCH-012,2020-10-10T06:56:55Z,87,185,0.009,18,1831,0
MCH-013,2019-06-18T22:15:45Z,93,186,0.009,19,1543,0
MCH-014,2022-06-13T20:51:27Z,86,183,0.005,19,1057,0
MCH-015,2019-12-10T01:57:59Z,82,188,0.008,23,1220,1
MCH-016,2021-03-22T17:12:00Z,88,187,0.009,21,1182,0
MCH-017,2019-03-02T18:28:36Z,86,170,0.011,25,1849,1
MCH-018,2023-01-05T07:49:15Z,86,184,0.006,27,1814,1
MCH-019,2019-09-17T03:05:20Z,92,170,0.006,21,1544,1
MCH-020,2019-09-17T16:34:18Z,92,185,0.004,27,1665,0
MCH-021,2022-05-26T07:36:04Z,94,178,0.003,27,1638,1
MCH-022,2019-07-12T11:20:56Z,83,173,0.003,22,1774,1
MCH-023,2019-07-09T14:36:34Z,81,172,0.008,18,1021,1
MCH-024,2020-02-17T12:36:50Z,87,173,0.009,27,1022,1
MCH-025,2023-11-09T16:18:25Z,91,177,0.01,27,1274,1
MCH-026,2022-08-09T17:34:02Z,91,187,0.01,23,1121,0
MCH-027,2023-10-01T22:17:09Z,94,186,0.006,18,1385,0
MCH-028,2022-12-27T12:31:56Z,91,171,0.006,22,1913,0
MCH-029,2022-11-27T08:55:58Z,87,176,0.003,20,1362,0
MCH-030,2023-08-18T02:59:01Z,92,169,0.009,27,1317,0
MCH-031,2019-07-03T05:10:55Z,94,168,0.011,21,1331,1
MCH-032,2023-06-28T06:03:59Z,86,168,0.003,27,1721,1
MCH-033,2022-01-25T06:10:57Z,91,190,0.012,20,1464,1
MCH-034,2023-05-26T22:28:25Z,83,176,0.008,24,1986,1
MCH-035,2023-02-14T19:49:11Z,90,181,0.011,20,1414,0
MCH-036,2022-02-17T23:08:54Z,87,176,0.012,24,1694,0
MCH-037,2019-09-06T22:46:31Z,82,180,0.002,24,1402,1
MCH-038,2022-02-02T17:53:10Z,93,189,0.004,18,1670,1
MCH-039,2023-01-14T22:14:28Z,89,185,0.003,24,1542,1
MCH-040,2023-12-02T19:23:07Z,86,190,0.008,26,1115,0
MCH-041,2020-11-26T00:35:07Z,81,173,0.011,25,1276,1
MCH-042,2022-01-13T19:45:44Z,93,185,0.003,22,1843,0
MCH-043,2023-02-15T23:19:42Z,84,184,0.01,25,1955,0
MCH-044,2022-10-07T00:14:06Z,94,181,0.012,19,1964,0
MCH-045,2022-09-01T18:03:10Z,84,180,0.012,25,1063,0
MCH-046,2023-03-05T20:43:19Z,85,173,0.009,23,1543,1
MCH-047,2019-02-07T01:22:03Z,92,171,0.003,19,1122,0
MCH-048,2020-07-20T19:25:04Z,81,187,0.003,27,1619,1
MCH-049,2020-06-27T15:01:19Z,93,168,0.003,22,1533,0
MCH-050,2019-07-03T08:21:24Z,88,183,0.005,19,1697,0
MCH-051,2021-05-05T12:28:31Z,91,186,0.006,26,1703,1
MCH-052,2023-02-13T09:02:37Z,82,183,0.003,25,1486,1
MCH-053,2021-07-15T21:40:12Z,85,183,0.006,27,1154,0
MCH-054,2023-10-16T21:37:33Z,83,173,0.011,21,1259,1
MCH-055,2022-06-23T20:30:55Z,85,174,0.004,25,1693,1
MCH-056,2022-03-24T16:35:42Z,94,170,0.009,19,1142,0
MCH-057,2022-11-01T11:36:30Z,87,185,0.005,25,1399,1
MCH-058,2020-01-18T17:04:09Z,86,176,0.008,27,1256,1
MCH-059,2020-09-02T12:53:07Z,84,171,0.005,22,1807,0
MCH-060,2023-02-04T01:09:24Z,85,182,0.006,25,1246,0
MCH-061,2019-12-15T03:37:51Z,81,174,0.002,19,1798,1
MCH-062,2020-08-10T11:28:51Z,85,172,0.002,20,1029,0
MCH-063,2022-06-17T13:56:47Z,89,179,0.008,20,1980,1
MCH-064,2022-08-02T18:40:20Z,93,172,0.003,18,1407,1
MCH-065,2021-06-27T15:12:23Z,85,168,0.004,24,1236,0
MCH-066,2019-06-06T07:45:50Z,91,169,0.003,25,1564,0
MCH-067,2021-02-07T20:44:11Z,93,175,0.006,18,1836,1
MCH-068,2023-04-02T14:00:33Z,90,168,0.011,25,1098,0
MCH-069,2022-02-11T07:47:15Z,81,183,0.004,19,1256,0
MCH-070,2023-05-16T03:16:02Z,84,172,0.011,22,1541,0
MCH-071,2022-03-24T17:51:47Z,82,188,0.009,21,1597,1
MCH-072,2023-09-24T11:02:18Z,93,181,0.004,21,1736,0
MCH-073,2023-08-20T05:50:09Z,92,174,0.012,26,1082,1
MCH-074,2023-03-20T06:20:32Z,83,175,0.008,25,1308,0
MCH-075,2023-08-25T18:58:30Z,94,176,0.006,27,1924,0
MCH-076,2023-02-18T16:05:15Z,82,190,0.003,27,1144,0
MCH-077,2019-10-01T14:14:28Z,92,184,0.007,21,1171,0
MCH-078,2022-08-19T09:05:01Z,92,172,0.003,24,1641,0
MCH-079,2023-02-28T17:09:53Z,82,177,0.012,22,1699,0
MCH-080,2021-01-11T19:11:17Z,89,189,0.012,21,1432,0
MCH-081,2022-06-27T13:30:09Z,89,172,0.005,18,1748,0
MCH-082,2022-02-27T21:17:10Z,81,175,0.011,24,1552,0
MCH-083,2020-05-23T00:54:42Z,94,175,0.004,20,1212,1
MCH-084,2021-05-06T05:09:40Z,81,183,0.009,19,1726,0
MCH-085,2021-05-27T08:23:17Z,83,182,0.004,18,1831,1
MCH-086,2020-12-28T10:01:22Z,93,187,0.012,24,1069,1
MCH-087,2023-05-05T13:24:53Z,87,178,0.003,23,1337,1
MCH-088,2022-09-11T17:12:24Z,87,186,0.012,27,1519,0
MCH-089,2019-03-09T14:30:34Z,94,188,0.009,22,1429,0
MCH-090,2023-07-02T16:05:11Z,90,168,0.004,26,1931,1
MCH-091,2019-10-05T06:35:33Z,84,176,0.007,27,1697,0
MCH-092,2023-02-24T03:35:11Z,82,170,0.008,26,1992,1
MCH-093,2020-12-25T00:04:06Z,93,170,0.011,25,1989,1
MCH-094,2019-12-05T11:48:55Z,83,181,0.012,24,1740,1
MCH-095,2020-07-14T11:30:21Z,88,188,0.005,23,1574,0
MCH-096,2020-01-20T04:38:52Z,94,180,0.004,20,1788,1
MCH-097,2019-11-13T04:21:27Z,93,184,0.012,18,1802,1
MCH-098,2022-12-05T02:03:26Z,81,184,0.008,24,1115,1
MCH-099,2019-07-21T14:33:52Z,81,173,0.006,21,1076,0
MCH-100,2019-08-17T10:50:59Z,83,184,0.006,24,1887,0
MCH-101,2022-05-26T05:34:08Z,86,186,0.003,22,1930,0
MCH-102,2019-10-12T05:04:23Z,89,185,0.004,18,1137,0
MCH-103,2020-07-07T10:32:53Z,88,173,0.008,25,1725,0
MCH-104,2020-08-03T00:46:22Z,88,180,0.002,19,1552,1
