date,device,failure,metric1,metric2,metric3,metric4,metric5,metric6,metric7,metric8,metric9
01-01-2015,S1F01085,0,215630672,55,0,52,6,407438,0,0,7
01-01-2015,S1F0166B,0,61370680,0,3,0,6,403174,0,0,0
01-01-2015,S1F01E6Y,0,173295968,0,0,0,12,237394,0,0,0
01-01-2015,S1F01JE0,0,79694024,0,0,0,6,410186,0,0,0
01-01-2015,S1F01R2B,0,135970480,0,0,0,15,313173,0,0,3
01-01-2015,S1F01TD5,0,68837488,0,0,41,6,413535,0,0,1
01-01-2015,S1F01XDJ,0,227721632,0,0,0,8,402525,0,0,0
01-01-2015,S1F023H2,0,141503600,0,0,1,19,494462,16,16,3
01-01-2015,S1F02A0J,0,8217840,0,1,0,14,311869,0,0,0
01-01-2015,S1F02DZ2,0,116440096,0,378,9,9,407905,0,0,170
01-01-2015,S1F02EVN,0,112348104,0,0,0,7,388146,0,0,1
01-01-2015,S1F02L38,0,223938928,0,0,0,2,215169,0,0,8
01-01-2015,S1F02MGA,0,44399688,0,266,1,6,399286,0,0,2269
01-01-2015,S1F02P76,0,104131304,1536,0,175,11,301679,0,0,0
01-01-2015,S1F02VAX,0,61019512,168,2,521,3,380496,0,0,3
01-01-2015,S1F02WFT,0,44348552,6150,14,1074,11,249515,0,0,21
01-01-2015,S1F0318A,0,35018688,0,0,0,9,394890,0,0,5
01-01-2015,S1F0322R,0,34540712,0,0,0,9,411399,0,0,0
01-01-2015,S1F0330P,0,125539768,0,0,12,14,297284,0,0,5
01-01-2015,S1F035SJ,0,220392160,0,0,0,9,389730,0,0,0
01-01-2015,S1F0377V,0,166567552,0,0,23,14,321308,0,0,8
01-01-2015,S1F039FE,0,218786520,0,0,6,4,394782,0,0,2
01-01-2015,S1F03RV3,0,176851840,0,0,0,8,258058,0,0,0
01-01-2015,S1F03YZM,0,55587136,0,0,0,7,199132,0,0,0
01-01-2015,S1F044ET,0,161730848,0,0,0,5,226578,0,0,0
01-01-2015,S1F049RX,0,181980928,0,0,4,7,395719,0,0,0
01-01-2015,S1F04DH8,0,134506192,0,9,0,16,324354,0,0,145
01-01-2015,S1F04KSC,0,105234552,392,24929,529,3,339205,0,0,10137
01-01-2015,S1F04MVQ,0,41356960,1984,0,46,4,367145,0,0,65
01-01-2015,S1F04R7Y,0,126680112,0,0,0,7,398672,0,0,51
01-01-2015,S1F04TS4,0,11041528,0,0,8,6,385366,0,0,1
01-01-2015,S1F04Y6C,0,121664216,0,0,7,3,388821,0,0,0
01-01-2015,S1F059G0,0,131625384,0,14,0,3,399158,0,0,255
01-01-2015,S1F05AFP,0,182270456,0,0,2,3,378044,0,0,0
01-01-2015,S1F05B1Q,0,163784840,0,0,7,4,387410,0,0,57
01-01-2015,S1F05NAJ,0,133978568,192,0,0,4,336806,0,0,1
01-01-2015,S1F05P51,0,188415568,496,0,0,5,331171,0,0,0
01-01-2015,S1F05P5Z,0,212782472,928,0,3,4,331390,0,0,0
01-01-2015,S1F06E04,0,67826320,1952,0,12,5,375985,0,0,0
01-01-2015,S1F06F7K,0,124661944,128,0,0,4,383073,0,0,1
01-01-2015,S1F06R6W,0,107727520,0,0,0,2,397732,0,0,3
01-01-2015,S1F06ZX2,0,118304768,0,0,0,9,403791,0,0,0
01-01-2015,S1F08R94,0,193299520,0,1,0,4,325723,0,0,0
01-01-2015,S1F08S38,0,36835520,744,3,2,4,333898,0,0,6
01-01-2015,S1F09DZQ,0,12568128,136,0,2,6,380112,0,0,2
01-01-2015,S1F09MAK,0,9461552,7928,0,7,3,306534,0,0,4
01-01-2015,S1F09MSM,0,150282408,360,0,0,3,338226,0,0,2
01-01-2015,S1F0A1PX,0,32240224,0,0,0,4,330480,0,0,0
01-01-2015,S1F0A1VP,0,214406240,8,1,8,4,337452,0,0,1
01-01-2015,S1F0AADQ,0,204365424,0,0,0,7,380594,0,0,1
01-01-2015,S1F0AEFT,0,201740416,0,0,0,9,392707,0,0,0
01-01-2015,S1F0B3XA,0,138051992,464,0,3,4,342303,0,0,0
01-01-2015,S1F0B5QJ,0,190272496,21528,0,331,4,257578,8,8,0
01-01-2015,S1F0BN0S,0,164954392,1392,0,0,4,315843,0,0,0
01-01-2015,S1F0BQZK,0,16350056,128,3,6,4,331917,48,48,5
01-01-2015,S1F0BVK1,0,128177168,0,0,0,5,235659,0,0,0
01-01-2015,S1F0BWZ3,0,77946232,0,0,0,7,354416,0,0,2
01-01-2015,S1F0C95J,0,145431032,0,0,0,5,228392,0,0,0
01-01-2015,S1F0CE60,0,116599776,0,0,0,6,213752,0,0,0
01-01-2015,S1F0CSBR,0,117542136,352,0,1,4,303625,0,0,0
01-01-2015,S1F0CSRZ,0,8337728,7448,382,7,4,332141,0,0,1864
01-01-2015,S1F0CT09,0,59979360,104,0,0,4,333880,0,0,0
01-01-2015,S1F0CT4F,0,4308592,0,0,0,4,350244,0,0,0
01-01-2015,S1F0CTDN,0,50147888,528,0,4,9,381198,32,32,3
01-01-2015,S1F0CTDY,0,40804784,192,0,0,4,337518,0,0,0
01-01-2015,S1F0CTRL,0,68179312,800,0,0,4,341208,0,0,1
01-01-2015,S1F0CVDS,0,31652376,0,0,0,4,345198,312,312,0
01-01-2015,S1F0CVRM,0,3131464,520,0,3,4,333128,0,0,0
01-01-2015,S1F0CVWK,0,214520784,1888,0,6,7,350191,0,0,0
01-01-2015,S1F0CVY5,0,149416256,1232,1326,4,5,315962,0,0,898
01-01-2015,S1F0CWHW,0,181849512,368,0,0,4,320211,0,0,9
01-01-2015,S1F0CWKN,0,127130528,0,0,0,4,338123,0,0,0
01-01-2015,S1F0CWXJ,0,126520680,6336,0,1,4,286446,0,0,0
01-01-2015,S1F0DKAN,0,229757712,0,0,0,6,257378,0,0,0
01-01-2015,S1F0DSTY,0,8471680,0,0,0,11,436682,0,0,0
01-01-2015,S1F0E9EP,0,106791400,0,0,0,8,196552,0,0,0
01-01-2015,S1F0EEP2,0,134846800,0,0,0,13,241377,0,0,0
01-01-2015,S1F0EGMT,0,84554144,0,0,0,9,196324,0,0,0
01-01-2015,S1F0EGSH,0,40237712,0,0,0,11,217110,0,0,0
01-01-2015,S1F0F4EB,0,239412320,0,0,0,9,200197,0,0,2
01-01-2015,S1F0F4G4,0,211877800,0,0,0,10,285843,0,0,2
01-01-2015,S1F0FGBQ,0,22235264,0,0,0,9,170595,0,0,0
01-01-2015,S1F0FP0C,0,170455152,0,0,0,9,199551,0,0,0
01-01-2015,S1F0FVBE,0,220310848,0,0,0,14,287997,0,0,0
01-01-2015,S1F0FW8K,0,148364576,0,0,0,92,219483,0,0,0
01-01-2015,S1F0FZ8F,0,131456656,0,0,0,7,196271,0,0,0
01-01-2015,S1F0G0XX,0,199608968,0,0,0,12,286864,0,0,0
01-01-2015,S1F0G9ZF,0,298304,0,0,0,70,220132,0,0,0
01-01-2015,S1F0GCED,0,236579432,0,0,0,8,200873,0,0,0
01-01-2015,S1F0GG8X,0,38395328,1232,0,0,11,187467,0,0,2
01-01-2015,S1F0GGJD,0,729312,0,0,0,62,193739,0,0,0
01-01-2015,S1F0GGPP,0,183315424,0,0,0,9,199329,0,0,0
01-01-2015,S1F0GHJ1,0,42570952,0,0,0,58,220094,0,0,0
01-01-2015,S1F0GJL9,0,54378424,0,0,0,63,222276,0,0,0
01-01-2015,S1F0GJW3,0,118683272,0,0,0,8,201152,0,0,0
01-01-2015,S1F0GKFX,0,107148272,0,0,0,65,223170,0,0,0
01-01-2015,S1F0GKL6,0,234778096,0,0,0,90,221425,0,0,0
01-01-2015,S1F0GPFZ,0,53071760,0,0,0,8,195262,0,0,0
01-01-2015,S1F0GPXY,0,22380768,0,0,0,8,196205,0,0,0
01-01-2015,S1F0GQCL,0,113057752,0,0,0,92,217629,0,0,0
01-01-2015,S1F0GRB1,0,141979144,0,0,0,67,222055,0,0,0
01-01-2015,S1F0GSD9,0,2373368,0,0,0,11,197582,0,0,0
01-01-2015,S1F0GSHB,0,156384480,0,0,0,91,223965,0,0,0
01-01-2015,S1F0GV0W,0,167290904,0,5,6,95,221821,0,0,0
01-01-2015,S1F0H6JG,0,91780872,0,0,0,7,193033,0,0,0
01-01-2015,S1F0H6JJ,0,146195960,0,0,0,32,249911,0,0,2
01-01-2015,S1F0HWXJ,0,167636672,0,0,0,6,208328,0,0,0
01-01-2015,S1F0J5JH,0,58802968,0,0,0,7,200198,0,0,0
01-01-2015,S1F0JD7P,0,17000896,0,0,0,58,224281,0,0,0
01-01-2015,S1F0JGJV,0,95214880,0,0,0,7,195474,0,0,0
01-01-2015,S1F0JMRJ,0,111709616,0,0,0,39,254620,0,0,14
01-01-2015,S1F0KY6R,0,128410712,0,0,0,14,284707,0,0,0
01-01-2015,S1F0KYCR,0,175582800,0,0,0,9,198663,0,0,0
01-01-2015,S1F0KZJJ,0,61131968,0,0,0,36,247392,0,0,0
01-01-2015,S1F0L0DW,0,211717136,0,0,0,7,281947,0,0,0
01-01-2015,S1F0L11K,0,205419560,0,0,0,6,205762,0,0,0
01-01-2015,S1F0LBMG,0,210532624,0,0,0,7,281490,0,0,7
01-01-2015,S1F0LBY2,0,129849824,0,0,0,11,444624,0,0,0
01-01-2015,S1F0LC06,0,216641792,0,0,0,6,206400,0,0,0
